,Student_Name,Gender,Marks,Attendance(%),Grade,Status,Current Degree,City
0,Ali,Male,92,95,A,Pass,BS-IT,Lahore
1,Sara,Female,45,80,D,Pass,BS-CS,Islamabad
2,Ahmed,Male,67,88,C,Pass,BS-DS,Karachi
3,Ayesha,Female,38,65,F,Fail,BS-ML,Sialkot
4,Bilal,Male,81,92,B,Pass,BS-AI,Islamabad
5,Sana,Female,55,78,C,Pass,BS-CS,Karachi
6,Usman,Male,29,55,F,Fail,BS-DS,Lahore
7,Hina,Female,74,85,B,Pass,BS-ML,Islamabad
8,Hamza,Male,88,96,A,Pass,BS-AI,Islamabad
9,Zara,Female,60,82,C,Pass,BS-CS,Karachi
10,Fahad,Male,33,60,F,Fail,BS-IT,Lahore
11,Mahnoor,Female,95,98,A,Pass,BS-CS,Islamabad
12,Imran,Male,50,75,C,Pass,BS-DS,Karachi
13,Rabia,Female,42,68,D,Pass,BS-DS,Lahore
14,Kamran,Male,77,89,B,Pass,BS-ML,Sialkot
15,Nadia,Female,25,50,F,Fail,BS-AI,Sialkot
16,Waqas,Male,68,84,C,Pass,BS-IT,Islamabad
17,Sadia,Female,90,94,A,Pass,BS-CS,Karachi
18,Talha,Male,58,79,C,Pass,BS-DS,Lahore
19,Iqra,Female,35,62,F,Fail,BS-CS,Islamabad
20,Salman,Male,84,90,B,Pass,BS-CS,Lahore
21,Amna,Female,62,81,C,Pass,BS-DS,Sialkot
22,Junaid,Male,47,70,D,Pass,BS-ML,Islamabad
23,Farah,Female,73,87,B,Pass,BS-AI,Karachi
24,Rizwan,Male,20,45,F,Fail,BS-CS,Lahore
25,Sobia,Female,99,97,A,Pass,BS-ML,Islamabad
26,Adeel,Male,53,76,C,Pass,BS-AI,Karachi
27,Uzma,Female,66,83,C,Pass,BS-IT,Karachi
28,Danish,Male,40,71,D,Pass,BS-CS,Sialkot
29,Mehak,Female,85,91,A,Pass,BS-DS,Islamabad
